dataset,matcher,precision,recall,f1-measure
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,simple_tfidf,0.5,0.5,0.28571428571428575
cmt-conference,metaMatcher,0.6666666666666666,0.6666666666666666,0.6666666666666666
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,equalDistance_matcher,0.5714285714285714,0.5714285714285714,0.34782608695652173
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,needlemanWunsch2Distance_matcher,0.5714285714285714,0.5714285714285714,0.34782608695652173
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,jiang_conrath_new,0.6666666666666666,0.6666666666666666,0.36363636363636365
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,new_lin,0.6666666666666666,0.6666666666666666,0.36363636363636365
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,subStringDistance_matcher,0.5714285714285714,0.5714285714285714,0.34782608695652173
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,level2_monge_elkan,0.3157894736842105,0.3157894736842105,0.34285714285714286
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,lin_matcher,0.5,0.5,0.3333333333333333
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,jaro_tfidf,0.5714285714285714,0.5714285714285714,0.34782608695652173
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,suffix_matcher,0.3888888888888889,0.3888888888888889,0.411764705882353
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,level2_jaro_winkler,0.42857142857142855,0.42857142857142855,0.39999999999999997
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,wu_palmer,0.6666666666666666,0.6666666666666666,0.36363636363636365
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,jaroWinklerMeasure_matcher,1.0,1.0,0.0
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,advanced_tfidf,0.0,0.0,0.0
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,mongeElkan_matcher,0.32,0.32,0.39024390243902435
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,jiangConrath_matcher,0.5,0.5,0.3333333333333333
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,jaccardStemmed_matcher,0.5714285714285714,0.5714285714285714,0.34782608695652173
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,ngramDistance_matcher,0.5714285714285714,0.5714285714285714,0.34782608695652173
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,prefix_matcher,0.35714285714285715,0.35714285714285715,0.3333333333333333
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,levenshteinDistance_matcher,0.5714285714285714,0.5714285714285714,0.34782608695652173
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,smoaDistance_matcher,0.5714285714285714,0.5714285714285714,0.34782608695652173
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,level2_jaro,0.42857142857142855,0.42857142857142855,0.39999999999999997
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,soft_tfidf_jaro,0.5714285714285714,0.5714285714285714,0.34782608695652173
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,hammingDistance_matcher,0.5714285714285714,0.5714285714285714,0.34782608695652173
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,jaroMeasure_matcher,0.5714285714285714,0.5714285714285714,0.34782608695652173
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,simple_tfidf,0.5714285714285714,0.5714285714285714,0.34782608695652173
cmt-confOf,metaMatcher,0.625,0.625,0.4166666666666667
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/edas.owl,equalDistance_matcher,0.8888888888888888,0.8888888888888888,0.7272727272727274
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/edas.owl,needlemanWunsch2Distance_matcher,0.8888888888888888,0.8888888888888888,0.7272727272727274
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/edas.owl,jiang_conrath_new,0.875,0.875,0.6666666666666667
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/edas.owl,new_lin,0.875,0.875,0.6666666666666667
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/edas.owl,subStringDistance_matcher,0.8888888888888888,0.8888888888888888,0.7272727272727274
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/edas.owl,level2_monge_elkan,0.13793103448275862,0.13793103448275862,0.22535211267605634
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/edas.owl,lin_matcher,0.8888888888888888,0.8888888888888888,0.7272727272727274
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/edas.owl,jaro_tfidf,0.8888888888888888,0.8888888888888888,0.7272727272727274
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/edas.owl,suffix_matcher,0.27586206896551724,0.27586206896551724,0.380952380952381
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/edas.owl,level2_jaro_winkler,0.1951219512195122,0.1951219512195122,0.29629629629629634
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/edas.owl,wu_palmer,0.875,0.875,0.6666666666666667
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/edas.owl,jaroWinklerMeasure_matcher,1.0,1.0,0.0
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/edas.owl,advanced_tfidf,0.0,0.0,0.0
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/edas.owl,mongeElkan_matcher,0.13559322033898305,0.13559322033898305,0.2222222222222222
