cmt-conference,core_platform,0.5714285714285714,0.26666666666666666,0.36363636363636365
cmt-confOf,core_platform,0.75,0.375,0.5
cmt-edas,core_platform,0.7272727272727273,0.6153846153846154,0.6666666666666667
cmt-ekaw,core_platform,0.8333333333333334,0.45454545454545453,0.5882352941176471
cmt-iasted,core_platform,0.5714285714285714,1.0,0.7272727272727273
cmt-sigkdd,core_platform,0.7777777777777778,0.5833333333333334,0.6666666666666666
conference-confOf,core_platform,0.8,0.5333333333333333,0.64
conference-edas,core_platform,0.7777777777777778,0.4117647058823529,0.5384615384615384
conference-ekaw,core_platform,0.6666666666666666,0.32,0.43243243243243246
conference-iasted,core_platform,0.5714285714285714,0.2857142857142857,0.38095238095238093
conference-sigkdd,core_platform,0.9,0.6,0.7200000000000001
confOf-edas,core_platform,0.5882352941176471,0.5263157894736842,0.5555555555555555
confOf-ekaw,core_platform,0.8,0.4,0.5333333333333333
confOf-iasted,core_platform,0.46153846153846156,0.6666666666666666,0.5454545454545455
confOf-sigkdd,core_platform,0.8333333333333334,0.7142857142857143,0.7692307692307692
edas-ekaw,core_platform,0.6666666666666666,0.2608695652173913,0.37500000000000006
edas-iasted,core_platform,0.5714285714285714,0.42105263157894735,0.48484848484848486
edas-sigkdd,core_platform,0.6363636363636364,0.4666666666666667,0.5384615384615385
ekaw-iasted,core_platform,0.6666666666666666,0.6,0.631578947368421
ekaw-sigkdd,core_platform,0.875,0.6363636363636364,0.7368421052631579
iasted-sigkdd,core_platform,0.7857142857142857,0.7333333333333333,0.7586206896551724
