dataset,matcher,precision,recall,f1-measure
cmt-confOf,simple_tfidf,0.7142857142857143,0.3125,0.43478260869565216
cmt-confOf,jaro_winkler_tfidf,0.5454545454545454,0.375,0.4444444444444444
cmt-confOf,levenshteinDistance,0.6666666666666666,0.25,0.36363636363636365
cmt-confOf,hammingDistance,0.6666666666666666,0.25,0.36363636363636365
cmt-confOf,equalDistance,0.6666666666666666,0.25,0.36363636363636365
cmt-confOf,subStringDistance,0.5,0.25,0.3333333333333333
cmt-confOf,ngramDistancedeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-confOf,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-confOf,jaroMeasure,0.36363636363636365,0.25,0.2962962962962963
cmt-confOf,best_base_matcher,0.6666666666666666,0.375,0.4800000000000001
cmt-edas,core_platform,0.7272727272727273,0.6153846153846154,0.6666666666666667
cmt-edas,majority_vote,0.8888888888888888,0.6153846153846154,0.7272727272727274
cmt-edas,ngramDistance,0.6666666666666666,0.6153846153846154,0.64
cmt-edas,wuPalmer,0.2692307692307692,0.5384615384615384,0.3589743589743589
cmt-edas,wuPalmerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-edas,path,0.7777777777777778,0.5384615384615384,0.6363636363636364
cmt-edas,lin,0.6363636363636364,0.5384615384615384,0.5833333333333334
cmt-edas,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.10638297872340426,0.7692307692307693,0.18691588785046728
cmt-edas,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.11764705882352941,0.6153846153846154,0.19753086419753085
cmt-edas,jaroWinklerMeasure,0.11764705882352941,0.6153846153846154,0.19753086419753085
cmt-edas,word2Vec,0.6363636363636364,0.5384615384615384,0.5833333333333334
cmt-edas,level2_jara_winkler,0.10638297872340426,0.7692307692307693,0.18691588785046728
cmt-edas,prefix,0.2903225806451613,0.6923076923076923,0.4090909090909091
cmt-edas,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-edas,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.6666666666666666,0.6153846153846154,0.64
cmt-edas,word2VecStemmed,0.625,0.38461538461538464,0.4761904761904762
cmt-edas,jaccard,1.0,0.6153846153846154,0.761904761904762
cmt-edas,level2_monge_elkan,0.09433962264150944,0.7692307692307693,0.16806722689075632
